pressmark,record_url,digitization_type,digitization_url
latin 8180,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67449d,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100386175
latin 8181,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67450f,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b90779275
latin 8182,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67451p,none,none
latin 8183,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67452x,none,none
latin 8184,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674535,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9072629d
latin 8185,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67454d,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b90726280
latin 8186,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67455n,none,none
latin 8187,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67456w,none,none
latin 8188,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674574,none,none
latin 8189,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67458c,none,none
latin 8190,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67459m,none,none
latin 8191,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67460n,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b90670694
latin 8192,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67461w,none,none
latin 8193,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674624,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9067068q
latin 8194,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67463c,none,none
latin 8195,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67464m,none,none
latin 8196,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67465v,none,none
latin 8197,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674663,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10038260k
latin 8198,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67467b,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9067872c
latin 8199,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67468k,none,none
latin 8200,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67469t,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10038835v
latin 8201,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67470v,none,none
latin 8202,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674713,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10034584z
latin 8203,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67472b,none,none
latin 8204,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67473k,none,none
latin 8205,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67474t,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b90670679
latin 8206,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674752,none,none
latin 8207,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674769,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9067225n
latin 8208,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67477j,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9068038w
latin 8209,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67478s,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10037157k
latin 8210,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674791,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100333624
latin 8211,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674802,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10034585d
latin 8212,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674819,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10035825d
latin 8213,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67482j,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10035826v
latin 8214,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67483s,colorized,http://gallica.bnf.fr/ark:/12148/btv1b10542086z
latin 8215,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674841,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100358279
latin 8216,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674858,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10035828r
latin 8217,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67486h,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100358296
latin 8218,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67487r,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10035830k
latin 8219,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674880,none,none
latin 8220,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674897,none,none
latin 8221,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674908,none,none
latin 8222,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67491h,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10035316j
latin 8223,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67492r,none,none
latin 8224,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674930,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b90670783
latin 8225,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674947,none,none
latin 8226,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67495g,none,none
latin 8227,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67496q,none,none
latin 8228,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67497z,none,none
latin 8229,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674986,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10035138h
latin 8230,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67499f,none,none
latin 8231,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67500k,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9077928k
latin 8232,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67501t,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b90680362
latin 8233,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc675022,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9067077p
latin 8234,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc675039,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9076930b
latin 8235,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67504j,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10032972g
latin 8236,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67505s,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100353403
latin 8237,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc675061,none,none
